Episode,Reward,Length
593,18.0,19
594,31.0,32
595,25.0,26
596,15.0,16
597,29.0,30
598,8.0,9
599,21.0,22
600,29.0,30
601,17.0,18
602,20.0,21
603,16.0,17
604,33.0,34
605,11.0,12
606,15.0,16
607,15.0,16
608,10.0,11
609,18.0,19
610,12.0,13
611,15.0,16
612,9.0,10
613,13.0,14
614,9.0,10
615,14.0,15
616,31.0,32
617,19.0,20
618,27.0,28
619,19.0,20
620,17.0,18
621,12.0,13
622,25.0,26
623,14.0,15
624,13.0,14
625,33.0,34
626,25.0,26
627,21.0,22
628,20.0,21
629,21.0,22
630,15.0,16
631,22.0,23
632,15.0,16
633,18.0,19
634,25.0,26
635,14.0,15
636,18.0,19
637,34.0,35
638,18.0,19
639,34.0,35
640,18.0,19
641,36.0,37
642,12.0,13
643,22.0,23
644,13.0,14
645,12.0,13
646,19.0,20
647,13.0,14
648,12.0,13
649,32.0,33
650,26.0,27
651,56.0,57
652,19.0,20
653,16.0,17
654,14.0,15
655,11.0,12
656,24.0,25
657,12.0,13
658,10.0,11
659,17.0,18
660,18.0,19
661,21.0,22
662,23.0,24
663,41.0,42
664,24.0,25
665,20.0,21
666,33.0,34
667,23.0,24
668,24.0,25
669,27.0,28
670,38.0,39
671,33.0,34
672,21.0,22
673,17.0,18
674,20.0,21
675,8.0,9
676,30.0,31
677,14.0,15
678,12.0,13
679,13.0,14
680,16.0,17
681,32.0,33
682,11.0,12
683,26.0,27
684,19.0,20
685,42.0,43
686,15.0,16
687,15.0,16
688,11.0,12
689,36.0,37
690,10.0,11
691,12.0,13
692,13.0,14
693,13.0,14
694,14.0,15
695,23.0,24
696,15.0,16
697,13.0,14
698,39.0,40
699,11.0,12
700,11.0,12
701,24.0,25
702,16.0,17
703,20.0,21
704,21.0,22
705,12.0,13
706,10.0,11
707,43.0,44
708,17.0,18
709,13.0,14
710,66.0,67
711,35.0,36
712,17.0,18
713,18.0,19
714,10.0,11
715,14.0,15
716,11.0,12
717,24.0,25
718,45.0,46
719,11.0,12
720,12.0,13
721,17.0,18
722,17.0,18
723,48.0,49
724,8.0,9
725,20.0,21
726,12.0,13
727,19.0,20
728,10.0,11
729,22.0,23
730,14.0,15
731,18.0,19
732,28.0,29
733,9.0,10
734,79.0,80
735,40.0,41
736,17.0,18
737,21.0,22
738,39.0,40
739,11.0,12
740,33.0,34
741,31.0,32
742,28.0,29
743,37.0,38
744,92.0,93
745,15.0,16
746,25.0,26
747,36.0,37
748,35.0,36
749,20.0,21
750,17.0,18
751,12.0,13
752,43.0,44
753,19.0,20
754,12.0,13
755,15.0,16
756,20.0,21
757,45.0,46
758,19.0,20
759,20.0,21
760,14.0,15
761,47.0,48
762,20.0,21
763,26.0,27
764,47.0,48
765,21.0,22
766,24.0,25
767,26.0,27
768,10.0,11
769,15.0,16
770,51.0,52
771,11.0,12
772,22.0,23
773,12.0,13
774,25.0,26
775,17.0,18
776,16.0,17
777,14.0,15
778,35.0,36
779,15.0,16
780,11.0,12
781,34.0,35
782,20.0,21
783,27.0,28
784,29.0,30
785,12.0,13
786,12.0,13
787,18.0,19
788,16.0,17
789,9.0,10
790,25.0,26
791,16.0,17
792,35.0,36
793,10.0,11
794,44.0,45
795,12.0,13
796,24.0,25
797,15.0,16
798,12.0,13
799,17.0,18
800,21.0,22
801,19.0,20
802,14.0,15
803,14.0,15
804,14.0,15
805,15.0,16
806,13.0,14
807,18.0,19
808,18.0,19
809,24.0,25
810,17.0,18
811,17.0,18
812,17.0,18
813,21.0,22
814,12.0,13
815,17.0,18
816,14.0,15
817,42.0,43
818,9.0,10
819,9.0,10
820,8.0,9
821,31.0,32
822,10.0,11
823,43.0,44
824,17.0,18
825,12.0,13
826,24.0,25
827,18.0,19
828,13.0,14
829,19.0,20
830,17.0,18
831,23.0,24
832,9.0,10
833,15.0,16
834,11.0,12
835,18.0,19
836,20.0,21
837,24.0,25
838,21.0,22
839,54.0,55
840,27.0,28
841,42.0,43
842,34.0,35
843,28.0,29
