Episode,Reward,Length
618,110.0,115
619,112.0,120
620,111.0,118
621,144.0,123
622,105.0,121
623,14.0,119
624,139.0,117
625,197.0,112
626,114.0,121
627,114.0,121
628,115.0,124
629,117.0,119
630,125.0,116
631,112.0,118
632,114.0,114
633,119.0,113
634,160.0,124
635,114.0,112
636,123.0,121
637,112.0,109
638,112.0,163
639,120.0,127
640,114.0,135
641,123.0,138
642,114.0,130
643,125.0,148
644,114.0,161
645,113.0,166
646,106.0,145
647,119.0,137
648,111.0,149
649,111.0,178
650,118.0,150
651,107.0,133
652,165.0,123
653,91.0,128
654,281.0,124
655,112.0,133
656,69.0,121
657,126.0,119
658,103.0,127
659,106.0,123
660,106.0,117
661,106.0,125
662,113.0,120
663,105.0,133
664,110.0,127
665,124.0,124
666,119.0,121
667,116.0,119
668,121.0,134
669,123.0,112
670,125.0,112
671,125.0,116
672,122.0,118
673,127.0,118
674,119.0,110
675,119.0,116
676,115.0,121
677,113.0,110
678,118.0,118
679,113.0,107
680,118.0,119
681,116.0,118
682,116.0,115
683,121.0,113
684,119.0,117
685,117.0,120
686,115.0,109
687,110.0,107
688,119.0,115
689,119.0,108
690,122.0,115
691,117.0,107
692,114.0,109
693,114.0,110
694,116.0,109
695,112.0,110
696,111.0,104
697,122.0,118
698,110.0,67
699,119.0,115
700,107.0,12
701,161.0,29
702,125.0,10
703,133.0,47
704,133.0,11
705,136.0,10
706,128.0,12
707,146.0,11
708,159.0,10
709,164.0,18
710,143.0,31
711,135.0,57
712,147.0,13
713,176.0,11
714,148.0,11
715,148.0,30
716,131.0,48
717,121.0,12
718,126.0,10
719,122.0,70
720,131.0,54
721,119.0,157
722,117.0,18
723,125.0,25
724,121.0,26
725,115.0,38
726,115.0,234
727,123.0,25
728,118.0,28
729,131.0,12
730,125.0,31
731,122.0,28
732,119.0,25
733,117.0,42
734,132.0,489
735,110.0,168
736,110.0,162
737,110.0,305
738,114.0,69
739,116.0,32
740,116.0,159
741,108.0,131
742,114.0,13
743,119.0,132
744,108.0,162
745,116.0,116
746,105.0,130
747,117.0,131
748,117.0,120
749,116.0,139
750,113.0,159
751,111.0,455
752,115.0,126
753,118.0,141
754,107.0,126
755,105.0,137
756,113.0,125
757,106.0,123
758,113.0,128
759,113.0,139
760,105.0,139
761,107.0,122
762,108.0,110
763,107.0,102
764,108.0,105
765,102.0,105
766,116.0,110
767,65.0,106
768,113.0,111
769,10.0,111
770,10.0,107
771,27.0,110
772,8.0,116
773,45.0,113
774,9.0,112
775,8.0,13
776,10.0,109
777,9.0,113
778,8.0,115
779,16.0,112
780,29.0,118
781,29.0,121
782,55.0,124
783,11.0,122
784,9.0,124
785,9.0,121
786,28.0,129
787,46.0,194
788,10.0,132
789,8.0,131
790,68.0,134
791,52.0,112
792,52.0,130
793,155.0,112
794,16.0,115
795,23.0,118
796,24.0,92
797,36.0,123
798,232.0,140
799,23.0,132
800,26.0,141
801,10.0,129
802,29.0,150
803,29.0,208
804,26.0,73
805,23.0,129
806,40.0,133
807,487.0,79
808,166.0,153
809,160.0,144
810,303.0,89
811,67.0,154
812,30.0,315
813,157.0,453
814,157.0,484
815,129.0,501
816,11.0,126
817,130.0,106
818,160.0,140
819,114.0,139
820,128.0,206
821,129.0,154
822,118.0,135
823,137.0,125
824,157.0,166
825,157.0,203
826,453.0,134
827,124.0,140
828,139.0,182
829,124.0,132
830,135.0,191
831,123.0,170
