Episode,Reward,Length
1106,500.0,92
1107,307.0,79
1108,136.0,67
1109,106.0,58
1110,152.0,73
1111,152.0,87
1112,337.0,501
1113,135.0,501
1114,426.0,501
1115,98.0,181
1116,108.0,226
1117,122.0,171
1118,121.0,238
1119,126.0,215
1120,123.0,501
1121,121.0,501
1122,121.0,501
1123,125.0,501
1124,120.0,501
1125,119.0,501
1126,129.0,501
1127,120.0,459
1128,121.0,445
1129,121.0,217
1130,118.0,327
1131,119.0,341
1132,118.0,501
1133,118.0,501
1134,117.0,501
1135,116.0,501
1136,117.0,501
1137,118.0,501
1138,117.0,501
1139,115.0,501
1140,118.0,397
1141,112.0,501
1142,119.0,501
1143,118.0,501
1144,118.0,501
1145,117.0,501
1146,118.0,501
1147,115.0,501
1148,116.0,501
1149,114.0,501
1150,114.0,501
1151,109.0,501
1152,117.0,501
1153,121.0,501
1154,114.0,501
1155,114.0,501
1156,119.0,501
1157,116.0,501
1158,122.0,23
1159,117.0,22
1160,123.0,17
1161,119.0,18
1162,124.0,20
1163,121.0,22
1164,119.0,18
1165,120.0,21
1166,120.0,17
1167,125.0,15
1168,119.0,16
1169,121.0,23
1170,117.0,23
1171,123.0,19
1172,122.0,14
1173,126.0,14
1174,129.0,13
1175,125.0,16
1176,131.0,17
1177,131.0,14
1178,128.0,17
1179,133.0,17
1180,135.0,17
1181,137.0,501
1182,150.0,204
1183,140.0,501
1184,148.0,501
1185,92.0,501
1186,139.0,501
1187,182.0,501
1188,182.0,501
1189,323.0,501
1190,131.0,501
1191,125.0,144
1192,129.0,125
1193,272.0,501
1194,500.0,385
1195,500.0,501
1196,500.0,501
1197,500.0,501
1198,147.0,501
1199,147.0,501
1200,48.0,501
1201,111.0,501
1202,173.0,501
1203,500.0,501
1204,500.0,501
1205,500.0,501
1206,270.0,501
1207,27.0,501
1208,259.0,311
1209,330.0,239
1210,330.0,501
1211,299.0,501
1212,500.0,501
1213,500.0,501
1214,500.0,501
1215,500.0,501
1216,90.0,501
1217,77.0,501
1218,65.0,501
1219,56.0,501
1220,71.0,501
1221,71.0,501
1222,85.0,501
1223,500.0,501
1224,500.0,501
1225,500.0,501
1226,179.0,340
1227,224.0,259
1228,169.0,261
1229,236.0,223
1230,213.0,173
1231,500.0,139
1232,500.0,133
1233,500.0,133
1234,500.0,129
1235,500.0,130
1236,500.0,127
1237,500.0,139
1238,500.0,141
1239,457.0,139
1240,443.0,141
1241,215.0,139
1242,325.0,144
1243,325.0,135
1244,339.0,133
1245,500.0,136
1246,500.0,127
1247,500.0,129
1248,500.0,141
1249,500.0,127
1250,500.0,137
